model,train_size,accuracy,precision,recall,f1
naive_bayes,1000,0.813,0.843593571616756,0.76848,0.804286850588186
linear_svm,1000,0.82372,0.8140960956298998,0.83904,0.8263798605365796
logistic_regression,1000,0.81224,0.7991721600490572,0.83408,0.8162530337430518
naive_bayes,5000,0.84916,0.8751826699905442,0.81448,0.8437409356482825
linear_svm,5000,0.86328,0.8642123837022778,0.862,0.863104774110862
logistic_regression,5000,0.86268,0.8569966139066069,0.87064,0.8637644350966308
naive_bayes,12500,0.85508,0.8756665256030469,0.82768,0.8509973267530331
linear_svm,12500,0.87296,0.8801369863013698,0.86352,0.8717493135196253
logistic_regression,12500,0.87676,0.8758279466922033,0.878,0.8769126283408574
naive_bayes,25000,0.8582,0.8754087364802549,0.83528,0.8548737053260737
linear_svm,25000,0.87988,0.8873480708051228,0.87024,0.8787107718405428
logistic_regression,25000,0.8856,0.8844313287605678,0.88712,0.885773624091381
